isim,lat,lon
Colambia Coffee,39.918739,32.8273543
Coffee de Madrid Elvankent,39.9499976,32.611388
Lügat Kitap Kahve,39.934605,32.8715672
Hamza Usta Tiryaki Kafe,39.9759683,32.6162709
Arabica,39.9283914,32.8698838
Chocolabs Chocolate & Coffee,39.9719374,32.8185392
Roast'n Berry,39.9720435,32.8185372
Sauron Board Game Coffee,39.9810373,32.6554147
Mack Bear Coffee,39.9810981,32.6559606
Arabica,39.9845246,32.65566
Caribou Coffee,39.9122937,32.8093349
Coffee de Madrid,39.9090007,32.7552717
Colombia Coffee,39.9717972,32.8185426
Coffy,39.9722185,32.8191561
Harper's Coffee,39.9721608,32.8185449
Gua Coffee Company,39.9723623,32.8185374
Çikolata Evim,39.9720427,32.8191549
Arabica Coffee House,39.8150604,32.72401
Greenwich Coffee,39.9056232,32.8031889
Kronotrop Ankara Vega Center Bakery,39.9146264,32.7669527
Mado,39.970287,32.8224618
Crazy Black Cat Cafe,39.9816582,32.6287415
Coffee De Madrid,39.9824949,32.6092796
GUA Coffee Company Vega Center,39.9149205,32.7668812
Kahve Dünyası,39.8756788,32.7004407
Caffè Nero,40.1143827,32.9915777
Seferi Cafe,40.1136214,32.989468
Bomonti Cafe,40.1142699,32.9901106
Nunchi Coffee Co. Çayyolu Nokta,39.9002019,32.6923438
Pilav ve Ötesi Cafe & Bistro,39.8838249,32.656001
Menendi Pastanesi,39.8951471,32.8499927
Hacıoğlu Baklava Cafe & Bistro,39.9709076,32.7346938
Chocolabs,39.9710359,32.7149933
Kafe Dengi,39.9421201,32.8165195
Bi Kahve Atölyesi,39.8972066,32.8485205
Coffee & Study,39.9495942,32.6112114
Mackbear,39.9525911,32.6125842
Cafe Jön,39.9527341,32.6126857
Mappyy Coffee,39.9521194,32.6128234
Thila Coffee & Chocolate,39.9715489,32.7769548
Finestra,39.9742413,32.7745336
Misbaşak,39.9746321,32.7689577
Kafe Çamaltı,39.9615338,32.6031954
Sofa Coffee House,39.8976149,32.8498269
Bi' Kahve Atölyesi,39.8968128,32.8482081
Kafeterya,39.8937215,32.7839564
Mazi Kahvesi,39.9765751,32.6483953
Coffee Lab,39.9790213,32.6482237
Tomurcuk Kafe,39.9610346,32.8660531
Kesit Cafe,39.9308503,32.8464759
Piramit Kafe,39.8647692,32.7343505
Mrada Cafe,39.9914122,32.6455019
Elida Cafe,39.991598,32.6456952
Çamlıca Cafe,39.9917853,32.6458915
Mila Cafe Bistro,39.9919776,32.6460926
Patika Cafe & Bistro,39.9772971,32.6262586
Buta Bakü,39.95746,32.7398604
Fameo,39.8685543,32.7635518
Kahveci Hacıbaba,39.9510218,32.6125482
Coffee de Madrid,39.9732888,32.8432784
Seans Cafe & Bistro,39.9687277,32.8702811
Arabica,39.8471773,32.8552344
Coffee Lab,39.9925949,32.6299197
Halk Ekmek Kafe,39.9693387,32.7121894
Anka E-Spor Merkezi Bayındır,39.9220029,32.857303
Ankara Büyükşehir Belediyesi,39.9203889,32.8094013
Misbaşak,39.7883739,32.8357391
Çimen Cafe & Bistro,39.8822544,32.6849103
Coffee Lab,39.9693822,32.819852
Container Coffee,39.8667148,32.7351268
Dikmen Vadisi Pusu,39.8952504,32.8444841
Sulthane,39.9481241,32.6103311
G.M.O. Simitçi Kafe,39.8744103,32.6744089
Coffe Lab Batıkent,39.9706329,32.7139679
Mug Kafe,39.9192618,32.797082
BelPa Cofee,39.963486,32.7107795
Deli Pasta,39.8494714,32.6516199
Chifin Cafe Restoran,39.9802138,32.7585833
Coffee 1919,39.9122878,32.7801628
Mabel Engelesiz Cafe,39.9268292,32.9024729
N'JOY Lounge,39.880698,32.6834638
Çadır Kafe,39.9635819,32.701696
Alyans Garden,39.7881984,32.8358439
CoffeeHub,39.9243151,32.8458292
Luma Cafe Lounge,39.793993,32.819084
Botonaik Kütüphane Kafe,39.896694,32.7053375
Melek Cafem,39.8962499,32.7049487
Adem Café Bistro,39.8623192,32.6794247
Riva Cafe,39.9898297,32.6505375
Caff Coffee House,39.9902823,32.6456371
Katre Cafe Bistro,39.9898024,32.6459152
Root Cafe,39.9908935,32.6453001
Zabar Cafe,39.8417692,32.7914104
